,Close_Price,Close_time,High,Low,Open_Price,Open_Time,Volume
0,172.70000000,2019/04/21 01:22:59,172.70000000,172.65000000,172.68000000,2019/04/21 01:22:00,16666.43941470
1,172.75000000,2019/04/21 01:23:59,172.81000000,172.68000000,172.70000000,2019/04/21 01:23:00,80931.33702230
2,172.75000000,2019/04/21 01:24:59,172.80000000,172.71000000,172.72000000,2019/04/21 01:24:00,14013.24862400
3,172.73000000,2019/04/21 01:25:59,172.81000000,172.66000000,172.76000000,2019/04/21 01:25:00,21386.78003010
4,172.70000000,2019/04/21 01:26:59,172.74000000,172.67000000,172.73000000,2019/04/21 01:26:00,7863.97259010
5,172.67000000,2019/04/21 01:27:59,172.76000000,172.63000000,172.70000000,2019/04/21 01:27:00,13123.37628380
6,172.66000000,2019/04/21 01:28:59,172.72000000,172.62000000,172.67000000,2019/04/21 01:28:00,11216.21825570
7,172.62000000,2019/04/21 01:29:59,172.69000000,172.62000000,172.64000000,2019/04/21 01:29:00,1549.45871540
8,172.58000000,2019/04/21 01:30:59,172.68000000,172.57000000,172.67000000,2019/04/21 01:30:00,17420.26647910
9,172.59000000,2019/04/21 01:31:59,172.59000000,172.52000000,172.56000000,2019/04/21 01:31:00,16993.87888160
10,172.54000000,2019/04/21 01:32:59,172.65000000,172.52000000,172.59000000,2019/04/21 01:32:00,7942.20727580
11,172.54000000,2019/04/21 01:33:59,172.54000000,172.50000000,172.53000000,2019/04/21 01:33:00,5010.69559600
12,172.62000000,2019/04/21 01:34:59,172.66000000,172.53000000,172.54000000,2019/04/21 01:34:00,9671.28508210
13,172.55000000,2019/04/21 01:35:59,172.64000000,172.53000000,172.62000000,2019/04/21 01:35:00,4146.51776470
14,172.54000000,2019/04/21 01:36:59,172.57000000,172.47000000,172.55000000,2019/04/21 01:36:00,1124.31065150
15,172.54000000,2019/04/21 01:37:59,172.56000000,172.48000000,172.54000000,2019/04/21 01:37:00,7697.47992600
16,172.55000000,2019/04/21 01:38:59,172.61000000,172.46000000,172.55000000,2019/04/21 01:38:00,9025.43701650
17,172.52000000,2019/04/21 01:39:59,172.61000000,172.51000000,172.55000000,2019/04/21 01:39:00,7423.18944790
18,172.65000000,2019/04/21 01:40:59,172.68000000,172.53000000,172.57000000,2019/04/21 01:40:00,8213.95894490
19,172.59000000,2019/04/21 01:41:59,172.68000000,172.54000000,172.68000000,2019/04/21 01:41:00,4048.33769600
20,172.52000000,2019/04/21 01:42:59,172.59000000,172.52000000,172.55000000,2019/04/21 01:42:00,24105.27845330
21,172.53000000,2019/04/21 01:43:59,172.57000000,172.52000000,172.53000000,2019/04/21 01:43:00,4737.54829140
22,172.53000000,2019/04/21 01:44:59,172.58000000,172.52000000,172.53000000,2019/04/21 01:44:00,3472.95007860
23,172.50000000,2019/04/21 01:45:59,172.53000000,172.48000000,172.53000000,2019/04/21 01:45:00,7810.66005790
24,172.47000000,2019/04/21 01:46:59,172.52000000,172.46000000,172.51000000,2019/04/21 01:46:00,2778.21391710
25,172.49000000,2019/04/21 01:47:59,172.52000000,172.46000000,172.47000000,2019/04/21 01:47:00,8855.45087220
26,172.49000000,2019/04/21 01:48:59,172.50000000,172.46000000,172.50000000,2019/04/21 01:48:00,3169.61711830
27,172.46000000,2019/04/21 01:49:59,172.48000000,172.45000000,172.46000000,2019/04/21 01:49:00,4773.98202310
28,172.47000000,2019/04/21 01:50:59,172.47000000,172.40000000,172.45000000,2019/04/21 01:50:00,9745.75455630
29,172.43000000,2019/04/21 01:51:59,172.48000000,172.41000000,172.45000000,2019/04/21 01:51:00,3285.51027590
30,172.51000000,2019/04/21 01:52:59,172.55000000,172.40000000,172.41000000,2019/04/21 01:52:00,7907.80672220
31,172.48000000,2019/04/21 01:53:59,172.56000000,172.44000000,172.52000000,2019/04/21 01:53:00,5183.77907570
32,172.44000000,2019/04/21 01:54:59,172.53000000,172.44000000,172.44000000,2019/04/21 01:54:00,7712.73276150
33,172.45000000,2019/04/21 01:55:59,172.50000000,172.39000000,172.47000000,2019/04/21 01:55:00,22929.08230420
34,172.40000000,2019/04/21 01:56:59,172.48000000,172.38000000,172.42000000,2019/04/21 01:56:00,9549.88355040
35,172.39000000,2019/04/21 01:57:59,172.48000000,172.35000000,172.41000000,2019/04/21 01:57:00,14673.11073760
36,172.45000000,2019/04/21 01:58:59,172.51000000,172.42000000,172.44000000,2019/04/21 01:58:00,16612.90724460
37,172.48000000,2019/04/21 01:59:59,172.53000000,172.44000000,172.47000000,2019/04/21 01:59:00,7976.18641450
38,172.51000000,2019/04/21 02:00:59,172.58000000,172.48000000,172.48000000,2019/04/21 02:00:00,10133.59496120
39,172.47000000,2019/04/21 02:01:59,172.55000000,172.47000000,172.50000000,2019/04/21 02:01:00,7520.91472160
40,172.53000000,2019/04/21 02:02:59,172.53000000,172.46000000,172.47000000,2019/04/21 02:02:00,7548.66756800
41,172.52000000,2019/04/21 02:03:59,172.64000000,172.47000000,172.47000000,2019/04/21 02:03:00,13821.24765560
