,Close_Price,Close_time,High,Low,Open_Price,Open_Time,Volume
0,168.66000000,2019/04/15 01:22:59,168.72000000,168.40000000,168.40000000,2019/04/15 01:22:00,52600.08050030
1,168.50000000,2019/04/15 01:23:59,168.81000000,168.39000000,168.66000000,2019/04/15 01:23:00,60543.27456910
2,168.14000000,2019/04/15 01:24:59,168.50000000,168.13000000,168.50000000,2019/04/15 01:24:00,47647.89586200
3,168.30000000,2019/04/15 01:25:59,168.30000000,168.19000000,168.20000000,2019/04/15 01:25:00,27092.65303580
4,168.10000000,2019/04/15 01:26:59,168.33000000,168.10000000,168.33000000,2019/04/15 01:26:00,70643.13977430
5,168.05000000,2019/04/15 01:27:59,168.13000000,167.90000000,168.10000000,2019/04/15 01:27:00,77576.07934970
6,168.01000000,2019/04/15 01:28:59,168.10000000,167.97000000,168.05000000,2019/04/15 01:28:00,27808.99872990
7,168.10000000,2019/04/15 01:29:59,168.15000000,168.01000000,168.03000000,2019/04/15 01:29:00,37788.93329270
8,168.17000000,2019/04/15 01:30:59,168.20000000,168.13000000,168.13000000,2019/04/15 01:30:00,16264.06178300
9,167.99000000,2019/04/15 01:31:59,168.17000000,167.92000000,168.17000000,2019/04/15 01:31:00,37002.14533840
10,167.88000000,2019/04/15 01:32:59,168.05000000,167.83000000,167.92000000,2019/04/15 01:32:00,63297.34374990
11,167.69000000,2019/04/15 01:33:59,167.87000000,167.63000000,167.87000000,2019/04/15 01:33:00,26172.64140280
12,167.70000000,2019/04/15 01:34:59,167.75000000,167.59000000,167.69000000,2019/04/15 01:34:00,33641.16459480
13,167.59000000,2019/04/15 01:35:59,167.69000000,167.56000000,167.67000000,2019/04/15 01:35:00,26104.62534480
14,167.46000000,2019/04/15 01:36:59,167.56000000,167.40000000,167.56000000,2019/04/15 01:36:00,21182.57088060
15,167.80000000,2019/04/15 01:37:59,167.88000000,167.46000000,167.46000000,2019/04/15 01:37:00,107725.12446050
16,167.82000000,2019/04/15 01:38:59,167.89000000,167.74000000,167.77000000,2019/04/15 01:38:00,7517.18921340
17,167.66000000,2019/04/15 01:39:59,167.82000000,167.66000000,167.81000000,2019/04/15 01:39:00,8218.23168290
18,167.70000000,2019/04/15 01:40:59,167.77000000,167.62000000,167.66000000,2019/04/15 01:40:00,19370.26382990
19,167.74000000,2019/04/15 01:41:59,167.85000000,167.66000000,167.70000000,2019/04/15 01:41:00,27300.70759160
20,167.97000000,2019/04/15 01:42:59,167.97000000,167.74000000,167.74000000,2019/04/15 01:42:00,34875.21027250
21,168.10000000,2019/04/15 01:43:59,168.12000000,167.90000000,167.97000000,2019/04/15 01:43:00,80538.23494650
22,168.12000000,2019/04/15 01:44:59,168.12000000,168.04000000,168.06000000,2019/04/15 01:44:00,16157.36212000
23,168.00000000,2019/04/15 01:45:59,168.24000000,168.00000000,168.13000000,2019/04/15 01:45:00,39984.26935430
24,168.16000000,2019/04/15 01:46:59,168.23000000,168.00000000,168.06000000,2019/04/15 01:46:00,29577.38902800
25,168.27000000,2019/04/15 01:47:59,168.30000000,168.06000000,168.16000000,2019/04/15 01:47:00,82227.57482750
26,168.39000000,2019/04/15 01:48:59,168.39000000,168.22000000,168.27000000,2019/04/15 01:48:00,22922.90190660
27,168.28000000,2019/04/15 01:49:59,168.39000000,168.24000000,168.36000000,2019/04/15 01:49:00,20091.70270630
